1       8
468.28      471.67      10
569.13      580.61       2
655.88      669.49       6
724.07      728.71       8
778.06      782.69       6
877.31      891.67      10
2       1
463.23      473.56       8
482.00      486.27       4
572.77      576.71       8
610.74      615.33       4
620.65      631.31      10
658.01      665.38       3
736.58      744.81       5
773.68      787.33       2
803.59      813.95       7
3       4
370.30      376.91       6
461.10      465.06       8
499.86      510.56       1
550.25      561.46       9
607.46      620.23       1
699.69      712.34       9
727.32      732.40       6
826.12      837.60       2
922.65      932.95       1
951.25      958.99       5
1004.54      1008.90       4
1067.72      1081.87       3
1161.33      1175.90       7
1244.92      1248.95       8
1289.57      1298.74       2
4       6
409.15      413.73       8
451.65      455.46       3
538.92      545.83      10
635.21      643.06       1
720.73      731.21       8
797.47      809.47       9
842.22      847.44       6
909.52      914.27       9
995.54      1000.22      10
5      10
464.10      476.60       6
481.70      494.59       2
534.99      540.02       3
565.08      571.71      10
602.15      610.47       1
699.48      706.95       5
760.95      772.25       7
6       5
469.05      477.60       3
520.54      535.46       1
568.41      578.26       2
648.40      661.37       6
688.60      698.33       1
760.05      775.29       3
864.65      878.27       4
890.39      894.26       5
960.86      972.92       7
1062.19      1074.47      10
7       4
413.39      417.48       5
517.03      530.67       2
615.40      620.62       3
654.28      666.84       4
720.08      732.14      10
776.49      784.99       1
855.64      866.25       2
959.96      969.77       7
1030.16      1044.24      10
1060.18      1065.02       9
1156.61      1162.26       6
8      10
436.11      448.98       5
519.26      528.91       3
553.51      568.91       1
594.31      604.52       2
673.79      682.80       8
687.89      691.94       7
750.35      761.30       2
773.84      778.60       3
848.18      860.98       4
938.74      950.15       7
998.80      1012.44      10
1079.44      1093.98       5
1184.91      1197.92       7
1252.28      1256.31       8
1294.04      1301.89       2
1308.85      1318.34       7
1387.36      1397.69       1
9       1
451.80      461.26       2
473.94      478.79       3
534.37      549.50       9
562.68      577.12       3
608.55      613.30       2
701.02      706.14       3
766.07      770.36       8
795.11      798.43      10
808.98      822.01       7
10       3
404.16      417.05       9
506.64      511.64       6
609.49      618.23       1
677.17      691.49       3
783.77      788.16       8
797.61      802.34       7
833.03      846.11       4
906.86      910.84       8
11      10
414.30      427.97       5
516.89      526.32       3
605.79      620.54       4
707.09      717.23       1
776.97      784.85      10
12       3
376.73      390.43       7
456.95      471.82       3
540.89      554.52       4
622.89      627.02       5
636.72      651.32      10
657.09      668.37       4
764.52      768.63       5
787.70      797.05       6
868.79      874.63       7
957.98      964.56       6
1060.24      1065.37       9
1096.21      1110.60       7
1197.61      1208.92       4
1216.35      1229.23       7
1258.64      1273.39       9
1336.71      1350.53       3
1371.89      1380.95       5
13       5
470.62      481.04       6
576.47      582.39       3
661.95      665.84       8
742.55      746.76       6
784.26      797.63       2
816.23      826.34       7
924.73      935.63       2
996.20      1007.33       1
1091.79      1104.03       8
1160.24      1163.90      10
14       8
459.08      463.72       4
518.61      522.67       5
553.71      567.80       9
665.13      669.72      10
719.54      732.45       7
760.65      765.03       8
822.08      834.31       1
920.27      931.03       8
1012.70      1016.55      10
1055.47      1066.25       4
1115.88      1119.74       8
1204.08      1212.37       2
1229.34      1236.25       4
15       8
446.64      451.02       4
534.94      548.99       3
576.11      590.89       9
674.77      681.89       4
781.15      785.18       8
880.16      884.33       4
936.48      947.63       7
1029.43      1034.10       8
1114.18      1127.65       9
1212.65      1217.52      10
16       2
451.56      465.91       5
544.34      553.46       3
642.35      657.42       9
732.49      746.08       3
757.58      772.26       7
819.73      831.57       5
868.03      882.05       9
963.87      970.90       4
1036.09      1043.06       9
1139.07      1143.64      10
1185.80      1189.98       9
1267.71      1281.04       7
1337.79      1343.57       6
17       2
408.27      419.25      10
467.44      472.09       9
541.08      545.55      10
588.77      601.85       7
670.96      683.36       5
760.45      767.73       1
779.73      788.47       5
18       3
412.32      416.14       8
437.28      450.37       9
463.48      466.98       2
561.48      573.66       6
657.99      664.57       4
736.24      746.96      10
823.17      833.17       2
921.55      926.44       3
932.43      937.06       2
993.67      1000.06       4
19       4
437.72      442.30       8
448.30      452.52       7
539.53      543.98       8
602.93      606.74      10
651.53      666.46       5
720.50      733.88      10
751.02      754.63       8
843.19      856.60       9
921.92      928.90       4
938.86      950.32       1
971.75      982.70       7
20       6
428.32      438.82       5
473.86      482.40       3
488.14      492.32       8
532.93      544.55       9
566.61      581.99       5
647.08      658.73       7
740.83      745.40       8
776.12      787.58       5
813.15      825.60       7
838.55      850.13       1
902.66      914.07       8
921.02      934.03       9
1010.98      1014.29       2
1059.27      1072.87       5
1146.09      1160.47      10
21      10
421.20      434.45       7
446.02      450.58       8
506.19      510.71       6
539.35      552.89       2
577.02      589.66       6
684.27      690.76       7
739.43      754.47       9
793.31      806.75       5
881.62      891.53       6
920.42      934.55      10
997.50      1008.20       4
1089.05      1095.38       2
1152.83      1156.12       9
1253.21      1257.67      10
1298.62      1309.35       4
1364.13      1371.23       6
22       2
436.33      447.98      10
503.95      512.72       1
563.63      575.23       9
638.90      643.67      10
692.30      705.73       7
740.57      752.66       4
827.62      831.90       5
23       2
398.11      406.31       8
499.36      503.57       4
556.69      560.72       5
650.72      666.59       9
729.62      740.81       1
807.43      814.80       5
838.19      842.29       4
24       2
391.01      401.51       1
444.94      455.51       8
479.72      483.19      10
562.42      575.82       6
623.31      628.28       3
668.20      671.87       8
712.10      722.99       1
25       7
426.78      430.99       8
488.29      500.36       9
590.03      605.64       5
678.53      682.40       4
765.02      769.10       5
856.43      870.72      10
934.90      939.54       9
986.82      994.11       4
1041.44      1052.78      10
1142.39      1149.99       1
1230.14      1244.06       3
1333.25      1346.45       4
1352.18      1356.16       5
26       8
401.77      414.14       1
429.79      443.09       9
485.73      490.53       6
558.09      564.85       4
600.17      607.63       9
27       1
370.40      383.71       3
428.40      441.76       4
502.59      509.55       9
559.71      573.95       3
589.67      604.97       9
676.75      689.40       1
722.58      734.54       8
28       8
399.30      409.63       1
496.35      509.47       3
526.21      539.31       4
585.30      599.87       3
661.24      665.71       2
754.25      763.55       8
805.33      817.13       9
29       1
382.15      394.26       8
426.94      435.01       2
524.63      537.37       6
586.44      598.37       2
635.98      648.11       6
713.43      718.54       3
30       5
465.95      479.56       2
523.45      532.43       8
554.65      565.12       1
572.43      583.43       2
677.71      692.05       5
770.96      782.00       6
869.63      875.30       9
918.98      925.95       4
993.88      1006.86       3
1065.14      1070.37       2
1156.12      1161.41       3
31       1
466.09      477.14       7
519.81      531.62       5
628.23      636.83       1
648.07      661.39       9
715.28      729.02       8
766.59      776.84       5
786.28      797.22       6
805.78      819.37       2
897.45      906.71       8
926.98      937.79       1
979.12      987.01       5
1061.34      1073.91      10
1139.33      1143.00       8
1172.92      1181.47       2
1279.63      1286.15       4
1320.71      1324.68       8
1343.32      1355.77       9
32       1
372.25      380.13      10
463.86      468.02       9
507.95      521.50       8
607.38      610.84      10
701.41      715.80       5
737.80      742.08       4
839.49      843.52       5
912.94      920.97       1
932.38      945.67       9
953.26      957.55      10
988.76      999.53       4
1075.88      1080.04       5
1088.70      1093.02       4
1135.71      1147.72       7
1200.91      1205.66       8
33       9
399.62      406.78       4
497.82      512.42       3
551.82      556.83       6
610.59      616.65       7
624.53      639.75       3
714.52      720.06       6
775.37      785.06       1
851.23      863.90       9
912.33      915.99       2
963.43      974.82       6
34       9
455.04      468.55       1
552.45      560.57       5
636.34      651.28       9
703.77      718.41       5
730.92      743.70      10
35       8
408.35      420.05       9
497.90      510.50       1
597.08      608.16       2
624.60      638.81       5
698.32      707.38       3
740.66      754.75       1
805.97      819.52       3
856.33      863.61      10
886.99      891.01       8
922.77      930.93       2
1023.89      1034.69       1
